Date_Year,USD
1978-12-29,193.44
1979-12-31,304.68
1980-12-31,614.5
1981-12-31,459.26
1982-12-31,375.3
1983-12-30,423.66
1984-12-31,360.78
1985-12-31,317.3
1986-12-31,367.85
1987-12-31,446.22
1988-12-30,436.86
1989-12-29,380.82
1990-12-31,383.56
1991-12-31,362.26
1992-12-31,343.95
1993-12-31,359.82
1994-12-30,384.15
1995-12-29,384.05
1996-12-31,387.87
1997-12-31,331.29
1998-12-31,294.09
1999-12-31,278.57
2000-12-29,279.1
2001-12-31,271.04
2002-12-31,309.68
2003-12-31,363.32
2004-12-31,409.17
2005-12-30,444.45
2006-12-29,603.77
2007-12-31,695.39
2008-12-31,871.96
2009-12-31,972.35
2010-12-31,1224.52
2011-12-30,1571.52
2012-12-31,1668.98
2013-12-31,1411.23
2014-12-31,1266.4
2015-12-31,1160.06
2016-12-30,1250.8
2017-12-29,1257.15
2018-12-31,1268.49
2019-12-31,1392.6
2020-12-31,1769.59
2021-12-31,1798.61
2022-12-30,1800.09
2023-12-29,1940.54
